Period Name,Ward Description,Product Description,Quantity
 01-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 250mg/10mL Ampoule (5),13.00
 23-Mar-2015,Acute Medical Unit,Aciclovir 250mg/10mL Vial (5),5.00
 23-Mar-2015,Benson Medical Ward,Aciclovir 250mg/10mL Vial (5),5.00
 25-Mar-2015,Benson Medical Ward,Aciclovir 250mg/10mL Vial (5),10.00
 17-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 250mg/10mL Vial (5),10.00
 01-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 250mg/10mL Vial (5),15.00
 09-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 250mg/10mL Vial (5),5.00
 13-Apr-2015,Acute Medical Unit,Aciclovir 250mg/10mL Vial (5),5.00
 05-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 250mg/10mL Vial (5),8.00
 02-Jan-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream (2g),1.00
 09-Feb-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 09-Feb-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 16-Mar-2015,Acute Medical Unit,Aciclovir 5% (50mg/g) Cream (2g),1.00
 30-Mar-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 25-Mar-2015,Intensive Care Unit,Aciclovir 5% (50mg/g) Cream (2g),1.00
 02-Apr-2015,Benson Medical Ward,Aciclovir 5% (50mg/g) Cream (2g),1.00
 17-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream (2g),1.00
 09-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 5% (50mg/g) Cream (2g),1.00
 27-Jan-2015,Intensive Care Unit,Aciclovir 500mg/20mL Vial (5),5.00
 28-Feb-2015,Acute Medical Unit,Aciclovir 500mg/20mL Vial (5),10.00
 27-Feb-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),10.00
 23-Mar-2015,Acute Medical Unit,Aciclovir 500mg/20mL Vial (5),5.00
 25-Mar-2015,Benson Medical Ward,Aciclovir 500mg/20mL Vial (5),10.00
 23-Mar-2015,Benson Medical Ward,Aciclovir 500mg/20mL Vial (5),5.00
 17-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),10.00
 12-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),5.00
 13-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),5.00
 09-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),5.00
 03-Mar-2015,Intensive Care Unit,Aciclovir 500mg/20mL Vial (5),5.00
 31-Mar-2015,Intensive Care Unit,Aciclovir 500mg/20mL Vial (5),5.00
 05-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),8.00
 14-Apr-2015,Intensive Care Unit,Aciclovir 500mg/20mL Vial (5),5.00
 25-Feb-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 800mg Tablet (35),7.00
 16-Feb-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 800mg Tablet (35),7.00
 23-Feb-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 800mg Tablet (35),11.00
 09-Apr-2015,Benson Medical Ward,Aciclovir 800mg Tablet (35),7.00
 13-Apr-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 800mg Tablet (35),14.00
 09-Jan-2015,Acute Medical Unit,Amoxycillin 1g Vial (10),30.00
 16-Jan-2015,Acute Medical Unit,Amoxycillin 1g Vial (10),20.00
 30-Jan-2015,Acute Medical Unit,Amoxycillin 1g Vial (10),20.00
 07-Jan-2015,Benson Medical Ward,Amoxycillin 1g Vial (10),10.00
 14-Jan-2015,Benson Medical Ward,Amoxycillin 1g Vial (10),10.00
 21-Jan-2015,Benson Medical Ward,Amoxycillin 1g Vial (10),50.00
 28-Jan-2015,Benson Medical Ward,Amoxycillin 1g Vial (10),20.00
 22-Jan-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (10),20.00
 29-Jan-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (10),60.00
 26-Feb-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (10),10.00
 27-Feb-2015,Acute Medical Unit,Amoxycillin 1g Vial (5),25.00
 11-Feb-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),20.00
 18-Feb-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),10.00
 09-Feb-2015,Colyer Surgical Ward,Amoxycillin 1g Vial (5),10.00
 06-Feb-2015,Galliers Bickley Ward (Maternity),Amoxycillin 1g Vial (5),5.00
 27-Feb-2015,Galliers Bickley Ward (Maternity),Amoxycillin 1g Vial (5),5.00
 05-Feb-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (5),50.00
 12-Feb-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (5),30.00
 19-Feb-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (5),50.00
 26-Feb-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (5),15.00
 26-Feb-2015,Maude Bellas Maternity Ward,Amoxycillin 1g Vial (5),5.00
 06-Mar-2015,Acute Medical Unit,Amoxycillin 1g Vial (5),25.00
 04-Mar-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),10.00
 11-Mar-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),15.00
 18-Mar-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),60.00
 25-Mar-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),20.00
 16-Mar-2015,Colyer Surgical Ward,Amoxycillin 1g Vial (5),10.00
 19-Mar-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 1g Vial (5),50.00
 31-Mar-2015,Intensive Care Unit,Amoxycillin 1g Vial (5),5.00
 01-Apr-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),50.00
 08-Apr-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),60.00
 22-Apr-2015,Benson Medical Ward,Amoxycillin 1g Vial (5),20.00
 04-Apr-2015,Galliers Bickley Ward (Maternity),Amoxycillin 1g Vial (5),5.00
 09-Apr-2015,Maude Bellas Maternity Ward,Amoxycillin 1g Vial (5),5.00
 30-Apr-2015,Maude Bellas Maternity Ward,Amoxycillin 1g Vial (5),5.00
 12-Jan-2015,Colyer Surgical Ward,Amoxycillin 250mg Capsule (20),20.00
 21-Jan-2015,Galliers Canning Ward (Med/205SURG),Amoxycillin 250mg Capsule (20),10.00
 23-Feb-2015,Colyer Surgical Ward,Amoxycillin 250mg Capsule (20),20.00
 13-Apr-2015,Benson Medical Ward,Amoxycillin 250mg Capsule (20),20.00
