Period Name,Ward Description,Product Description,Quantity
 28-Feb-2015,Acute Medical Unit,Aciclovir 500mg/20mL Vial (5),10.00
 27-Feb-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),10.00
 23-Mar-2015,Acute Medical Unit,Aciclovir 500mg/20mL Vial (5),5.00
 25-Mar-2015,Benson Medical Ward,Aciclovir 500mg/20mL Vial (5),10.00
 23-Mar-2015,Benson Medical Ward,Aciclovir 500mg/20mL Vial (5),5.00
 17-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),10.00
 12-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),5.00
 13-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),5.00
 09-Mar-2015,Galliers Canning Ward (Med/205SURG),Aciclovir 500mg/20mL Vial (5),5.00
 03-Mar-2015,Intensive Care Unit,Aciclovir 500mg/20mL Vial (5),5.00
